,Gene,log2FoldChange,pvalue,padj
3413,AIFM2,-0.01756,0.9334,0.9994
3414,TYSND1,-0.0569,0.8514,0.9994
3415,SAR1A,-0.07296,0.5293,0.9994
3416,PPA1,0.0443,0.877,0.9994
3417,LRRC20,0.07977,0.4176,0.9994
3418,EIF4EBP2,0.01809,0.8818,0.9994
3419,NODAL,0.2742,0.4845,0.9994
3420,KIAA1274,0.3921,0.1863,0.9994
3421,SGPL1,-0.1882,0.1704,0.9994
3422,PCBD1,0.0216,0.9115,0.9994
3423,LOC728978,-0.1935,0.6193,0.9994
3424,SLC29A3,-0.01991,0.9406,0.9994
3425,CDH23,0.3257,0.3526,0.9994
3426,C10orf54,-0.06934,0.8588,0.9994
3427,PSAP,0.02579,0.8833,0.9994
3428,CHST3,-0.1269,0.6496,0.9994
3429,SPOCK2,0.2581,0.4422,0.9994
3430,ASCC1,0.1292,0.3258,0.9994
3431,DDIT4,-0.4872,0.143,0.9994
3432,DNAJB12,0.09142,0.6757,0.9994
3433,MICU1,0.1324,0.1516,0.9994
3434,MCU,-0.134,0.3106,0.9994
3435,NUDT13,-0.1587,0.5609,0.9994
3436,ECD,-0.005997,0.9734,0.9994
3437,FAM149B1,-0.04445,0.6655,0.9994
3438,DNAJC9,0.08071,0.6857,0.9994
3439,C10orf103,0.1052,0.7353,0.9994
3440,MRPS16,0.06256,0.8048,0.9994
3441,TTC18,0.364,0.2151,0.9994
3442,ANXA7,-0.1732,0.5501,0.9994
3443,MSS51,0.08258,0.8319,0.9994
3444,PPP3CB,0.2211,0.1392,0.9994
3445,USP54,0.2456,0.4175,0.9994
3446,MYOZ1,0.2584,0.4426,0.9994
3447,SYNPO2L,0.5837,0.118,0.9994
3448,AGAP5,-0.1994,0.5803,0.9994
3449,BMS1P4,-0.02502,0.9352,0.9994
3450,SEC24C,0.06069,0.7994,0.9994
3451,FUT11,0.04002,0.8716,0.9994
3452,KIAA0913,-0.02872,0.9124,0.9994
3453,LOC100507331,0.06714,0.8628,0.9994
3454,NDST2,0.02584,0.8702,0.9994
3455,CAMK2G,0.2256,0.3181,0.9994
3456,AP3M1,-0.03529,0.8101,0.9994
3457,ADK,-0.1337,0.5193,0.9994
3458,KAT6B,0.1124,0.4684,0.9994
3459,DUSP13,0.1035,0.7793,0.9994
3460,SAMD8,0.00164,0.9867,0.9994
3461,VDAC2,-0.03118,0.9104,0.9994
3462,COMTD1,0.3246,0.3117,0.9994
3463,ZNF503,-0.07475,0.8009,0.9994
3464,ZNF503-AS2,0.08429,0.7869,0.9994
3465,C10orf11,-0.2808,0.4637,0.9994
3466,KCNMA1,-0.1557,0.6672,0.9994
3467,DLG5,-0.03122,0.8369,0.9994
3468,LOC100128292,0.1305,0.6945,0.9994
3469,RPS24,-0.2132,0.3051,0.9994
3470,LOC100132987,0.08925,0.8178,0.9994
3471,LOC283050,0.5531,0.135,0.9994
3472,ZMIZ1,0.1715,0.2643,0.9994
3473,PPIF,-0.04465,0.8231,0.9994
3474,EIF5AL1,-0.004927,0.979,0.9994
3475,SFTPA2,-0.1676,0.6691,0.9994
3476,LOC650623,0.2572,0.4242,0.9994
3477,LOC642361,0.0103,0.9492,0.9994
3478,SFTPD,-0.0971,0.8026,0.9994
3479,LOC219347,-0.03608,0.9234,0.9994
3480,FAM213A,0.02337,0.9077,0.9994
3481,MAT1A,0.05903,0.8803,0.9994
3482,DYDC2,0.4158,0.2837,0.9994
3483,C10orf58,-0.09228,0.5033,0.9994
3484,TSPAN14,0.136,0.3756,0.9994
3485,SH2D4B,-0.03483,0.9135,0.9994
3486,NRG3,0.3358,0.292,0.9994
3487,CDHR1,0.1732,0.6058,0.9994
3488,LRIT2,0.5036,0.1952,0.9994
3489,LOC170425,-0.008444,0.9806,0.9994
3490,FAM190B,-0.1138,0.5604,0.9994
3491,GRID1,0.1047,0.6778,0.9994
3492,LDB3,-0.1013,0.7819,0.9994
3493,BMPR1A,-0.1518,0.4756,0.9994
3494,MMRN2,0.1138,0.7698,0.9994
3495,SNCG,-0.06542,0.8663,0.9994
3496,C10orf116,-0.133,0.7288,0.9994
3497,AGAP11,-0.05721,0.8705,0.9994
3498,GLUD1,0.01731,0.9063,0.9994
3499,FAM35A,-0.2648,0.2053,0.9994
3500,FAM22A,-0.4042,0.2612,0.9994
3501,LOC728190,-0.2216,0.5655,0.9994
3502,LOC439994,-0.07546,0.8474,0.9994
3503,FAM22D,-0.1424,0.7119,0.9994
3504,MINPP1,0.06997,0.7126,0.9994
3505,ATAD1,0.06098,0.814,0.9994
3506,CFL1P1,0.251,0.3572,0.9994
3507,KLLN,-0.05181,0.8905,0.9994
3508,PTEN,0.01806,0.9226,0.9994
3509,RNLS,0.2402,0.5024,0.9994
3510,STAMBPL1,0.2894,0.3172,0.9994
3511,FAS,-0.3279,0.349,0.9994
3512,CH25H,-0.347,0.2288,0.9994
3513,LIPA,-0.08023,0.6756,0.9994
3514,IFIT2,-0.1322,0.7187,0.9994
3515,IFIT3,-0.3981,0.1662,0.9994
3516,IFIT1,0.3376,0.3193,0.9994
3517,IFIT5,0.2518,0.369,0.9994
3518,SLC16A12,0.3313,0.3983,0.9994
3519,PANK1,-0.01176,0.9677,0.9994
3520,FLJ37201,0.1201,0.6491,0.9994
3521,KIF20B,-0.3199,0.2761,0.9994
3522,LOC643529,-0.235,0.5406,0.9994
3523,HTR7,0.07201,0.8542,0.9994
3524,RPP30,-0.03336,0.8465,0.9994
3525,PCGF5,-0.1683,0.5317,0.9994
3526,HECTD2,0.01484,0.9379,0.9994
3527,PPP1R3C,0.1965,0.4878,0.9994
3528,TNKS2,0.0845,0.3732,0.9994
3529,BTAF1,-0.1596,0.6108,0.9994
3530,CPEB3,0.4077,0.1095,0.9994
3531,MARCH5,0.05621,0.6164,0.9994
3532,MARK2P9,-0.279,0.469,0.9994
3533,IDE,-0.2883,0.1149,0.9994
3534,KIF11,-0.502,0.1102,0.9994
3535,EXOC6,-0.09114,0.556,0.9994
3536,CYP26C1,0.0104,0.9788,0.9994
3537,CYP26A1,0.06984,0.8396,0.9994
3538,RBP4,-0.4786,0.2221,0.9994
3539,PDE6C,-0.1038,0.7643,0.9994
3540,FRA10AC1,0.06464,0.7814,0.9994
3541,SLC35G1,-0.1382,0.7164,0.9994
3542,PIPSL,-0.04059,0.8234,0.9994
3543,NOC3L,-0.09412,0.5993,0.9994
3544,TBC1D12,0.004549,0.9756,0.9994
3545,HELLS,-0.2153,0.5329,0.9994
3546,CYP2C8,0.2374,0.5435,0.9994
3547,PDLIM1,-0.006838,0.9844,0.9994
3548,SORBS1,-0.06656,0.755,0.9994
3549,ALDH18A1,-0.09476,0.6162,0.9994
3550,TCTN3,-0.004029,0.9859,0.9994
3551,ENTPD1,0.08344,0.658,0.9994
3552,LOC728558,-0.3817,0.3068,0.9994
3553,C10orf131,-0.3543,0.3477,0.9994
3554,CCNJ,-0.03104,0.8995,0.9994
3555,ZNF518A,0.009837,0.9638,0.9994
3556,TM9SF3,-0.02964,0.8369,0.9994
3557,PIK3AP1,-0.05246,0.89,0.9994
3558,LCOR,0.1752,0.5769,0.9994
3559,C10orf12,0.2604,0.2886,0.9994
3560,SLIT1,0.2685,0.4375,0.9994
3561,ARHGAP19-SLIT1,0.246,0.5218,0.9994
3562,ARHGAP19,-0.3285,0.241,0.9994
3563,FRAT2,0.2964,0.2653,0.9994
3564,RRP12,0.102,0.4641,0.9994
3565,PGAM1,-0.004452,0.9874,0.9994
3566,EXOSC1,-0.178,0.4036,0.9994
3567,ZDHHC16,0.03859,0.8986,0.9994
3568,MMS19,-0.178,0.3433,0.9994
3569,UBTD1,-0.155,0.4411,0.9994
3570,PI4K2A,-0.1398,0.3582,0.9994
3571,AVPI1,-0.04606,0.8647,0.9994
3572,ZFYVE27,0.2442,0.2612,0.9994
3573,SFRP5,-0.631,0.1075,0.9994
3574,GOLGA7B,0.309,0.3568,0.9994
3575,CRTAC1,0.2294,0.5551,0.9994
3576,C10orf28,-0.03944,0.8247,0.9994
3577,PYROXD2,-0.1017,0.7886,0.9994
3578,HPS1,-0.2304,0.332,0.9994
3579,CNNM1,0.09644,0.7524,0.9994
3580,GOT1,-0.1097,0.6185,0.9994
3581,ENTPD7,-0.05904,0.7931,0.9994
3582,COX15,-0.1039,0.4198,0.9994
3583,CUTC,0.07569,0.5348,0.9994
3584,ABCC2,-0.1786,0.6407,0.9994
3585,DNMBP,-0.3059,0.1355,0.9994
3586,ERLIN1,-0.2139,0.2873,0.9994
3587,CHUK,-0.1562,0.3648,0.9994
3588,CWF19L1,-0.002507,0.9887,0.9994
3589,SNORA12,-0.0768,0.8447,0.9994
3590,BLOC1S2,0.1043,0.5018,0.9994
3591,SCD,-0.3025,0.185,0.9994
3592,LINC00263,-0.0535,0.8515,0.9994
3593,WNT8B,-0.4613,0.2315,0.9994
3594,SEC31B,-0.1667,0.6687,0.9994
3595,NDUFB8,-0.08858,0.64,0.9994
3596,HIF1AN,0.009456,0.9743,0.9994
3597,PAX2,0.4744,0.1356,0.9994
3598,FAM178A,-0.09645,0.678,0.9994
3599,SEMA4G,0.08968,0.7205,0.9994
3600,MRPL43,-0.08424,0.6375,0.9994
3601,LZTS2,-0.2623,0.2057,0.9994
3602,PDZD7,0.186,0.5739,0.9994
3603,SFXN3,0.3071,0.1304,0.9994
3604,LBX1,0.1626,0.6765,0.9994
3605,FLJ41350,0.1946,0.6193,0.9994
3606,BTRC,0.1377,0.4673,0.9994
3607,POLL,-0.1994,0.1827,0.9994
3608,DPCD,-0.004412,0.9904,0.9994
3609,FBXW4,-0.2344,0.4256,0.9994
3610,MGEA5,0.07072,0.7974,0.9994
3611,LOC100289509,0.0615,0.8676,0.9994
3612,KCNIP2,-0.0322,0.9026,0.9994
3613,C10orf76,-0.09979,0.6832,0.9994
3614,HPS6,0.05015,0.8969,0.9994
3615,LDB1,0.04117,0.7652,0.9994
3616,PPRC1,0.01324,0.9134,0.9994
3617,ELOVL3,-0.05955,0.8793,0.9994
3618,GBF1,0.09095,0.6485,0.9994
3619,NFKB2,-0.3602,0.1662,0.9994
3620,FBXL15,0.2224,0.1607,0.9994
3621,CUEDC2,0.02978,0.8364,0.9994
3622,C10orf95,0.4036,0.2618,0.9994
3623,ACTR1A,0.08779,0.5828,0.9994
3624,SUFU,-0.0446,0.8713,0.9994
3625,TRIM8,0.04848,0.8404,0.9994
3626,ARL3,0.1646,0.2486,0.9994
3627,C10orf26,-0.06514,0.7874,0.9994
3628,C10orf32,-0.04827,0.857,0.9994
3629,AS3MT,-0.2782,0.473,0.9994
3630,NT5C2,-0.007484,0.9567,0.9994
3631,LOC729020,-0.2494,0.3593,0.9994
3632,INA,0.425,0.1138,0.9994
3633,PCGF6,-0.2538,0.3023,0.9994
3634,USMG5,0.00769,0.9676,0.9994
3635,PDCD11,0.01468,0.9078,0.9994
3636,CALHM2,-0.3926,0.2613,0.9994
3637,NEURL,0.04549,0.8873,0.9994
3638,SH3PXD2A,-0.5274,0.1184,0.9994
3639,SLK,-0.1865,0.3003,0.9994
3640,COL17A1,-0.4274,0.2753,0.9994
3641,SFR1,-0.03889,0.9142,0.9994
3642,WDR96,0.05484,0.8879,0.9994
3643,MIR4482-1,0.06351,0.8698,0.9994
3644,GSTO2,0.4169,0.1385,0.9994
3645,ITPRIP,-0.3977,0.1148,0.9994
3646,CCDC147,-0.3294,0.2972,0.9994
3647,SORCS3,0.2178,0.5078,0.9994
3648,XPNPEP1,-0.1937,0.3312,0.9994
3649,LOC100505933,-0.3944,0.3134,0.9994
3650,ADD3,-0.3,0.2988,0.9994
3651,MXI1,-0.07385,0.7905,0.9994
3652,DUSP5,0.09436,0.7906,0.9994
3653,SMC3,0.05327,0.7263,0.9994
3654,LOC282997,-0.2469,0.3684,0.9994
3655,PDCD4,-0.05647,0.7481,0.9994
3656,BBIP1,0.1313,0.1592,0.9994
3657,SHOC2,0.1435,0.2598,0.9994
3658,RPL13AP6,-0.1459,0.6732,0.9994
3659,ADRA2A,0.09763,0.7841,0.9994
3660,GPAM,0.3002,0.1579,0.9994
3661,TECTB,-0.1175,0.7589,0.9994
3662,ACSL5,0.3746,0.3234,0.9994
3663,ZDHHC6,0.08733,0.6531,0.9994
3664,VTI1A,0.09496,0.6692,0.9994
3665,LOC143188,-0.1638,0.5936,0.9994
3666,TCF7L2,-0.2122,0.4381,0.9994
3667,HABP2,0.2061,0.5952,0.9994
3668,NRAP,-0.2962,0.4439,0.9994
3669,DCLRE1A,0.1618,0.5846,0.9994
3670,NHLRC2,-0.04792,0.8707,0.9994
3671,ADRB1,0.1163,0.7668,0.9994
3672,C10orf118,0.02446,0.8866,0.9994
3673,FAM160B1,0.06643,0.76,0.9994
3674,TRUB1,0.1106,0.4817,0.9994
3675,ATRNL1,0.231,0.15,0.9994
3676,GFRA1,-0.4366,0.1468,0.9994
3677,C10orf96,0.2098,0.5541,0.9994
3678,PNLIP,-0.02792,0.9316,0.9994
3679,HSPA12A,0.2301,0.3841,0.9994
3680,ENO4,-0.07492,0.8478,0.9994
3681,KIAA1598,-0.1768,0.5956,0.9994
3682,VAX1,-0.322,0.317,0.9994
3683,SLC18A2,-0.3206,0.2732,0.9994
3684,PDZD8,-0.0875,0.5957,0.9994
3685,EMX2OS,-0.07106,0.8537,0.9994
3686,EMX2,0.0261,0.9463,0.9994
3687,RAB11FIP2,0.007574,0.9638,0.9994
3688,CASC2,0.2156,0.5623,0.9994
3689,FAM204A,0.08331,0.6478,0.9994
3690,PRLHR,0.414,0.2911,0.9994
3691,C10orf46,-0.1176,0.2794,0.9994
3692,NANOS1,0.2829,0.2616,0.9994
3693,EIF3A,-0.2681,0.1788,0.9994
3694,FAM45B,0.183,0.5127,0.9994
3695,SFXN4,-0.1338,0.4745,0.9994
3696,PRDX3,0.007376,0.9652,0.9994
3697,GRK5,-0.08691,0.7597,0.9994
3698,TIAL1,-0.1659,0.5295,0.9994
3699,BAG3,-0.3956,0.1238,0.9994
3700,INPP5F,0.3528,0.2886,0.9994
3701,MCMBP,-0.005147,0.9767,0.9994
3702,SEC23IP,-0.08946,0.6267,0.9994
3703,LOC283089,0.4153,0.1804,0.9994
3704,WDR11,-0.1024,0.6857,0.9994
3705,FGFR2,0.2039,0.5488,0.9994
3706,ATE1,0.1213,0.5982,0.9994
3707,NSMCE4A,0.0555,0.8319,0.9994
3708,TACC2,0.2478,0.2319,0.9994
3709,PLEKHA1,-0.07187,0.8098,0.9994
3710,HTRA1,-0.5219,0.1071,0.9994
3711,DMBT1,-0.1407,0.706,0.9994
3712,FAM24B,0.3044,0.4212,0.9994
3713,LOC399815,0.2472,0.5018,0.9994
3714,PSTK,-0.06308,0.6868,0.9994
3715,IKZF5,-0.02956,0.9112,0.9994
3716,ACADSB,-0.009707,0.9698,0.9994
3717,HMX3,-0.004706,0.9903,0.9994
3718,HMX2,-0.122,0.7488,0.9994
3719,BUB3,-0.07757,0.76,0.9994
3720,CPXM2,0.1831,0.5493,0.9994
3721,CHST15,-0.1417,0.5015,0.9994
3722,FAM53B,0.08264,0.7625,0.9994
3723,METTL10,0.1494,0.2965,0.9994
3724,FAM175B,0.09521,0.4192,0.9994
3725,CTBP2,0.1264,0.4922,0.9994
3726,FLJ37035,0.1254,0.7412,0.9994
3727,C10orf137,0.00353,0.9882,0.9994
3728,UROS,-0.0619,0.8411,0.9994
3729,BCCIP,0.08615,0.6768,0.9994
3730,DHX32,0.1505,0.5793,0.9994
3731,FANK1,-0.02223,0.9537,0.9994
3732,FAM196A,0.4468,0.2323,0.9994
3733,PTPRE,0.3837,0.2596,0.9994
3734,MKI67,-0.4955,0.1337,0.9994
3735,MGMT,-0.4149,0.1439,0.9994
3736,EBF3,0.2298,0.5198,0.9994
3737,LOC387723,-0.2784,0.4486,0.9994
3738,CTAGE7P,0.131,0.7178,0.9994
3739,GLRX3,-0.108,0.6252,0.9994
3740,PPP2R2D,-0.06152,0.8218,0.9994
3741,BNIP3,-0.05533,0.8835,0.9994
3742,JAKMIP3,0.2985,0.3957,0.9994
3743,STK32C,0.3856,0.123,0.9994
3744,LRRC27,0.1983,0.4345,0.9994
3745,PWWP2B,0.1075,0.7395,0.9994
3746,INPP5A,-0.0374,0.847,0.9994
3747,TTC40,0.2026,0.597,0.9994
3748,GPR123,0.4724,0.1978,0.9994
3749,KNDC1,-0.1295,0.6205,0.9994
3750,ADAM8,0.1322,0.7031,0.9994
3751,TUBGCP2,0.06207,0.6384,0.9994
3752,ZNF511,-0.1031,0.6328,0.9994
3753,CALY,0.3289,0.3597,0.9994
3754,PRAP1,-0.2434,0.52,0.9994
3755,C10orf125,0.01824,0.9543,0.9994
3756,ECHS1,0.02876,0.9181,0.9994
3757,PAOX,-0.2366,0.5158,0.9994
3758,MTG1,-0.1138,0.7215,0.9994
3759,SPRN,0.2808,0.4265,0.9994
3760,LOC619207,-0.1686,0.6672,0.9994
3761,CYP2E1,-0.1975,0.6112,0.9994
3762,LOC100133161,-0.06011,0.8687,0.9994
3763,BET1L,-0.1755,0.489,0.9994
3764,RIC8A,0.1403,0.5407,0.9994
3765,SIRT3,0.01214,0.9563,0.9994
3766,PSMD13,0.03208,0.844,0.9994
3767,NLRP6,-0.58,0.1354,0.9994
3768,B4GALNT4,0.01156,0.9655,0.9994
3769,PKP3,-0.3084,0.4127,0.9994
3770,SIGIRR,-0.2717,0.3748,0.9994
3771,ANO9,-0.1088,0.7361,0.9994
3772,PTDSS2,-0.02737,0.8768,0.9994
3773,RNH1,-0.01449,0.9354,0.9994
3774,HRAS,0.1087,0.5248,0.9994
3775,LRRC56,-0.05996,0.8477,0.9994
3776,C11orf35,-0.4253,0.2539,0.9994
3777,RASSF7,-0.2345,0.388,0.9994
3778,MIR210HG,-0.11,0.7754,0.9994
3779,MIR210,0.03552,0.9215,0.9994
3780,LOC143666,0.1747,0.6188,0.9994
3781,PHRF1,-0.08131,0.5591,0.9994
3782,IRF7,-0.3803,0.2664,0.9994
3783,CDHR5,0.1863,0.6322,0.9994
3784,SCT,-0.1391,0.7166,0.9994
3785,DRD4,0.3448,0.3495,0.9994
3786,DEAF1,0.0647,0.7282,0.9994
3787,TMEM80,-0.02866,0.9276,0.9994
3788,EPS8L2,0.1,0.7171,0.9994
3789,TALDO1,-0.09595,0.6645,0.9994
3790,PDDC1,-0.08837,0.5252,0.9994
3791,NS3BP,-0.1715,0.631,0.9994
3792,CEND1,0.2935,0.2666,0.9994
3793,SLC25A22,0.1535,0.2952,0.9994
3794,PIDD,-0.2576,0.4551,0.9994
3795,RPLP2,-0.3,0.2904,0.9994
3796,SNORA52,-0.04304,0.9114,0.9994
3797,POLR2L,-0.1541,0.5921,0.9994
3798,TSPAN4,-0.1353,0.4523,0.9994
3799,CHID1,-0.003457,0.975,0.9994
3800,AP2A2,-0.003442,0.9812,0.9994
3801,MUC6,-0.2063,0.546,0.9994
3802,MUC2,-0.0367,0.9061,0.9994
3803,MUC5B,-0.1256,0.7487,0.9994
3804,TOLLIP,0.1321,0.2478,0.9994
3805,LOC255512,0.03059,0.9193,0.9994
3806,BRSK2,0.2861,0.3632,0.9994
3807,MOB2,0.02685,0.8903,0.9994
3808,DUSP8,0.2049,0.5991,0.9994
3809,LOC338651,0.4203,0.243,0.9994
3810,CTSD,-0.2189,0.1646,0.9994
3811,MRPL23,-0.01641,0.9572,0.9994
3812,MRPL23-AS1,-0.1047,0.7876,0.9994
3813,TH,0.07458,0.8425,0.9994
3814,ASCL2,-0.1326,0.7297,0.9994
3815,C11orf21,0.0848,0.791,0.9994
3816,TSPAN32,0.05945,0.8742,0.9994
3817,TSSC4,0.1989,0.134,0.9994
3818,TRPM5,-0.0977,0.7897,0.9994
3819,KCNQ1,-0.2462,0.4941,0.9994
3820,KCNQ1DN,0.4188,0.2845,0.9994
3821,CDKN1C,-0.2524,0.4543,0.9994
3822,SLC22A18AS,-0.08479,0.8284,0.9994
3823,SLC22A18,-0.3301,0.3101,0.9994
3824,PHLDA2,-0.3119,0.4078,0.9994
3825,NAP1L4,0.1749,0.3455,0.9994
3826,SNORA54,0.09792,0.7584,0.9994
3827,CARS,-0.02678,0.8754,0.9994
3828,OSBPL5,-0.03154,0.8707,0.9994
3829,ZNF195,0.1824,0.447,0.9994
3830,LOC650368,-0.1858,0.6348,0.9994
3831,OR7E12P,-0.09766,0.8016,0.9994
3832,CHRNA10,-0.05773,0.8817,0.9994
3833,NUP98,-0.212,0.1154,0.9994
3834,STIM1,-0.0695,0.809,0.9994
3835,RRM1,-0.1236,0.5105,0.9994
3836,TRIM21,-0.1902,0.5894,0.9994
3837,TRIM68,0.03819,0.8318,0.9994
3838,OR51E1,-0.4921,0.1194,0.9994
3839,OR51E2,0.2741,0.4642,0.9994
3840,UBQLNL,0.01559,0.9683,0.9994
3841,TRIM6,-0.2549,0.5157,0.9994
3842,TRIM5,-0.2892,0.1803,0.9994
3843,TRIM22,-0.4528,0.1913,0.9994
3844,C11orf42,0.3707,0.3319,0.9994
3845,FAM160A2,0.03107,0.8536,0.9994
3846,CNGA4,0.02574,0.9476,0.9994
3847,CCKBR,0.1557,0.5484,0.9994
3848,SMPD1,-0.1266,0.6163,0.9994
3849,APBB1,0.135,0.5543,0.9994
3850,HPX,-0.3088,0.4102,0.9994
3851,TRIM3,0.1055,0.7094,0.9994
3852,ARFIP2,0.06674,0.5596,0.9994
3853,FXC1,-0.04502,0.839,0.9994
3854,DNHD1,0.0367,0.9216,0.9994
3855,RRP8,0.0604,0.8167,0.9994
3856,ILK,-0.05335,0.683,0.9994
3857,TAF10,-0.1032,0.5729,0.9994
3858,DCHS1,-0.04941,0.8277,0.9994
3859,MRPL17,-0.1214,0.6372,0.9994
3860,GVINP1,-0.004853,0.9901,0.9994
3861,OR2AG2,0.2403,0.4693,0.9994
3862,ZNF215,-0.03296,0.9257,0.9994
3863,ZNF214,0.1193,0.7235,0.9994
3864,NLRP14,0.1274,0.7416,0.9994
3865,SYT9,0.2321,0.531,0.9994
3866,CYB5R2,-0.5124,0.1899,0.9994
3867,EIF3F,-0.2709,0.2994,0.9994
3868,TUB,0.2272,0.4259,0.9994
3869,RIC3,0.1595,0.6203,0.9994
3870,STK33,-0.1358,0.583,0.9994
3871,RPL27A,-0.3712,0.1771,0.9994
3872,SNORA3,-0.2149,0.5838,0.9994
3873,SNORA45,-0.08032,0.8277,0.9994
3874,ST5,-0.2384,0.246,0.9994
3875,AKIP1,0.01769,0.877,0.9994
3876,TMEM9B,0.1467,0.4878,0.9994
3877,NRIP3,-0.3564,0.2216,0.9994
3878,SCUBE2,-0.4836,0.1806,0.9994
3879,DENND5A,-0.09184,0.6813,0.9994
3880,TMEM41B,-0.0519,0.7876,0.9994
3881,IPO7,-0.1182,0.6085,0.9994
3882,LOC644656,0.04704,0.9042,0.9994
3883,ZNF143,-0.02311,0.916,0.9994
3884,LOC283104,0.0128,0.9616,0.9994
3885,SBF2,-0.1014,0.36,0.9994
3886,AMPD3,-0.1412,0.7024,0.9994
3887,MTRNR2L8,-0.2523,0.4938,0.9994
3888,RNF141,0.03114,0.8679,0.9994
3889,MRVI1-AS1,-0.07833,0.8278,0.9994
3890,CTR9,0.1255,0.6738,0.9994
3891,EIF4G2,0.04341,0.7383,0.9994
3892,SNORD97,-0.3736,0.3068,0.9994
3893,ZBED5,0.1335,0.5114,0.9994
3894,LOC729013,0.03248,0.8716,0.9994
3895,GALNTL4,0.05754,0.8627,0.9994
3896,CSNK2A1P,0.01474,0.9433,0.9994
3897,USP47,0.181,0.345,0.9994
3898,DKK3,0.2624,0.2929,0.9994
3899,MICALCL,0.2864,0.4453,0.9994
3900,PARVA,-0.3271,0.3622,0.9994
3901,LOC100506305,0.3032,0.4393,0.9994
3902,RASSF10,0.1834,0.6378,0.9994
3903,ARNTL,-0.1838,0.6027,0.9994
3904,BTBD10,0.06367,0.7103,0.9994
3905,FAR1,-0.02075,0.8829,0.9994
3906,SPON1,0.4196,0.2136,0.9994
3907,RRAS2,0.05982,0.7605,0.9994
3908,COPB1,-0.04051,0.8523,0.9994
3909,PSMA1,-0.135,0.391,0.9994
3910,PDE3B,0.1409,0.4562,0.9994
3911,CYP2R1,0.2964,0.1296,0.9994
3912,CALCA,0.3749,0.324,0.9994
3913,CALCB,0.3965,0.3106,0.9994
3914,INSC,0.5076,0.1909,0.9994
3915,SOX6,-0.1492,0.6809,0.9994
3916,C11orf58,0.05568,0.7748,0.9994
3917,PLEKHA7,-0.2268,0.324,0.9994
3918,OR7E14P,-0.07941,0.7831,0.9994
3919,RPS13,-0.2674,0.3901,0.9994
3920,PIK3C2A,-0.247,0.1581,0.9994
3921,NUCB2,-0.2169,0.4561,0.9994
3922,B7H6,0.05018,0.8568,0.9994
3923,KCNJ11,0.2286,0.4874,0.9994
3924,ABCC8,-0.07028,0.8452,0.9994
3925,USH1C,0.1252,0.7464,0.9994
3926,KCNC1,0.3298,0.3254,0.9994
3927,SERGEF,-0.2238,0.2187,0.9994
3928,TPH1,0.432,0.2705,0.9994
3929,SAAL1,0.0561,0.7804,0.9994
3930,HPS5,-0.1481,0.4904,0.9994
3931,GTF2H1,-0.05245,0.8442,0.9994
3932,LDHA,-0.476,0.2225,0.9994
3933,LDHAL6A,0.1933,0.622,0.9994
3934,UEVLD,-0.06074,0.8569,0.9994
3935,LOC100506540,-0.2055,0.5773,0.9994
3936,SPTY2D1,-0.003485,0.985,0.9994
3937,TMEM86A,0.2301,0.4049,0.9994
3938,PTPN5,0.4496,0.1831,0.9994
3939,ZDHHC13,0.2098,0.2909,0.9994
3940,E2F8,-0.4748,0.1187,0.9994
3941,NAV2,-0.01939,0.9089,0.9994
3942,LOC100126784,-0.5351,0.1256,0.9994
3943,DBX1,0.2648,0.499,0.9994
3944,HTATIP2,-0.2231,0.4859,0.9994
3945,PRMT3,0.004019,0.9777,0.9994
3946,SLC6A5,0.1121,0.775,0.9994
3947,NELL1,0.4034,0.2952,0.9994
3948,ANO5,-0.02134,0.949,0.9994
3949,SLC17A6,0.1229,0.7132,0.9994
3950,FANCF,-0.04354,0.7895,0.9994
3951,SVIP,-0.08753,0.6144,0.9994
3952,LUZP2,-0.268,0.4632,0.9994
3953,ANO3,-0.03578,0.9267,0.9994
3954,SLC5A12,-0.08945,0.8195,0.9994
3955,BBOX1,0.07998,0.8383,0.9994
3956,CCDC34,-0.3227,0.1211,0.9994
3957,LGR4,0.1339,0.4131,0.9994
3958,BDNF-AS1,0.06388,0.8576,0.9994
3959,BDNF,-0.4191,0.1604,0.9994
3960,METTL15,0.02072,0.9063,0.9994
3961,KCNA4,-0.18,0.6441,0.9994
3962,C11orf46,0.1631,0.1397,0.9994
3963,DCDC5,0.01728,0.9624,0.9994
3964,DCDC1,0.1502,0.6299,0.9994
3965,DNAJC24,-0.1561,0.294,0.9994
3966,IMMP1L,0.06114,0.7343,0.9994
3967,ELP4,0.1182,0.4146,0.9994
3968,PAX6,0.06388,0.8048,0.9994
3969,DKFZp686K1684,0.5871,0.1168,0.9994
3970,WT1,-0.5179,0.1839,0.9994
3971,WT1-AS,-0.4898,0.1991,0.9994
3972,EIF3M,-0.2432,0.2279,0.9994
3973,PRRG4,-0.254,0.48,0.9994
3974,QSER1,-0.09943,0.5762,0.9994
3975,DEPDC7,-0.2663,0.4633,0.9994
3976,TCP11L1,0.07525,0.7622,0.9994
3977,LINC00294,0.1774,0.4383,0.9994
3978,CSTF3,0.05109,0.7105,0.9994
3979,LOC338739,0.1683,0.6358,0.9994
3980,HIPK3,-0.2439,0.213,0.9994
3981,C11orf41,-0.05069,0.8314,0.9994
3982,C11orf91,-0.2208,0.5616,0.9994
3983,CD59,-0.2595,0.1158,0.9994
3984,LMO2,-0.55,0.1174,0.9994
3985,NAT10,-0.009095,0.954,0.9994
